marco	frame
suelo	floor
paredes	walls
madera	wood
ventana	window
ventanas	windows
techo	ceiling
fuera	out
mimbre	wicker
toalla	towell
cepillo	brush
brillo	shine
listones	slats
banco	bank
vaso	glass
porcelana	porcelain
blanca	white
fondo	background
piedra	stone
pila	battery
espejo	mirror
esponja	sponge
cristal	crystal
tapon	plug
liquido	liquid
cerdas	bristles
goma	rubber
negro	black
losas	slabs
mesa	table
jabon	soap
nueva	new
bote	boat
dentro	inside
borde	edge
arbol	tree
